campaign_id,campaign_name,subject_line,from_name,from_email,send_date,send_time_utc,audience_list,status,delivered,opens,open_rate_pct,clicks,click_rate_pct,unsubscribes,unsubscribe_rate_pct,bounce_rate_pct,spam_complaints,conversions_placed_order,conversion_value_usd
01KQFX9RKK5K338N80WFTAH40Y,Email 1,Simplifying Your Kitchen Setup — We've Got You!,,sales@celebratefestivalinc.com,2026-05-01,2026-05-01T07:00:00,YwXV3d,Sent,3408,698,14.7,7,0.18,1,0.029,4.751,0,0,0.0
01KQWEGTPJCVCVSDT3A6QMQCZJ,Email 1,"When Your Kitchen Works Hard, Your Equipment Should Too",,sales@celebratefestivalinc.com,2026-05-05,2026-05-05T09:00:00,YwXV3d,Sent,3393,611,13.41,15,0.24,3,0.088,0.934,1,0,0.0
01KR4CCQRWGEBCABXSWHKVJ717,Email 1,Prepare for Order Surge—Get Equipped!,,sales@celebratefestivalinc.com,2026-05-08,2026-05-08T13:00:00,YwXV3d,Sent,3388,732,15.97,19,0.41,2,0.059,0.849,0,0,0.0
01KRC7V8T9AQ3RNHTP9E8AWARE,Email 1,Why Guess? Equip Your Kitchen Right!,,sales@celebratefestivalinc.com,2026-05-12,2026-05-12T17:00:00,YwXV3d,Sent,3386,692,14.89,17,0.38,5,0.148,0.849,1,0,0.0
01KRYA7F6DBHSK62HKBVJS20BR,Email 1,Stay On Track with Reliable Kitchen Equipment,,sales@celebratefestivalinc.com,2026-05-18,2026-05-18T14:00:00,YwXV3d,Sent,3377,691,15.16,14,0.36,0,0.0,0.997,0,0,0.0
01KS8CQ9MN8K7XT93RNJMQQF32,"Campaign May 22, 2026, 11:00 AM",Don’t Let Delays Slow Your Kitchen Down—Get Equipped!,,sales@celebratefestivalinc.com,2026-05-22,2026-05-22T11:00:00,YwXV3d,Sent,3379,761,16.48,14,0.36,2,0.059,0.705,0,0,0.0
01KSJZEAM8JVS5KAHBPCQQ3SDH,"Campaign May 26, 2026, 3:00 PM",From Heated Displays to Holding Cabinets — Built for Performance,,sales@celebratefestivalinc.com,2026-05-26,2026-05-26T15:00:00,YwXV3d,Sent,3379,706,15.45,10,0.27,6,0.178,0.647,1,0,0.0
01KSQYMMV7TYGRDVPHR8QP5DEC,"Campaign May 29, 2026, 08:00 AM",The Right Equipment Changes the Pace of the Entire Kitchen,,sales@celebratefestivalinc.com,2026-05-29,2026-05-29T08:00:00,YwXV3d,Sent,3368,687,14.49,18,0.3,3,0.089,0.795,0,0,0.0
01KT7NFK4067JHVA8GNXAK8B7X,"Campaign Jun 3, 2026, 2:15 PM",Kickstart Your Prep with Pro Equipment!,,sales@celebratefestivalinc.com,2026-06-03,2026-06-03T15:15:00,YwXV3d,Sent,3475,740,15.14,17,0.37,3,0.086,4.638,1,0,0.0
01KTD4H0C9C81D0246KA1VY006,"Campaign Jun 5, 2026, 5:14 PM","Keep Every Dish Hot, Fresh, and Ready to Serve",,sales@celebratefestivalinc.com,2026-06-05,2026-06-05T17:30:00,YwXV3d,Sent,3462,742,15.22,212,0.32,0,0.0,0.887,0,0,0.0
01KTYMWPSCDTAABJH938R07TFY,"Campaign Jun 12, 2026, 12:27 PM",Boost Freshness with the Right Equipment!,,sales@celebratefestivalinc.com,2026-06-12,2026-06-12T13:15:00,YwXV3d,Sent,3460,726,14.94,15,0.32,3,0.087,1.312,0,0,0.0
01KV92PX1GM40WP8HEJ6EYCZ14,June 16th,Master Your Kitchen with Essential Tools!,,sales@celebratefestivalinc.com,2026-06-16,2026-06-16T14:00:00,YwXV3d,Sent,3453,722,14.68,17,0.38,1,0.029,0.947,0,0,0.0
01KW30S0EXXZFWFHRTK64SJ4E9,"Campaign Jun 26, 2026, 3:28 PM",Keep Every Dish Hot Until It's Served,,sales@celebratefestivalinc.com,2026-06-26,2026-06-26T16:00:00,YwXV3d,Sent,3460,692,13.79,38,0.52,0,0.0,1.256,0,0,0.0
01KWZGYTNQ033187XYPM85XFHN,"Campaign Jul 8, 2026, 7:00 AM","From Prep to Peak Service, Built to Perform All Day.",,sales@celebratefestivalinc.com,2026-07-08,2026-07-08T07:00:00,YwXV3d,Sent,3591,624,12.14,19,0.33,1,0.028,7.401,1,0,0.0
01KXEV0SC365M125QJPXW9N4D1,"Campaign Jul 14, 2026, 2:00 PM","Keep Every Plate Hot, Every Customer Happy.",,sales@celebratefestivalinc.com,2026-07-14,2026-07-14T14:00:00,YwXV3d,Sent,3575,631,12.22,23,0.5,1,0.028,0.97,1,0,0.0
01KY3C6XX3CYWV01WDZG9A84YB,"Campaign Jul 22, 2026, 11:00 AM",New Arrivals to Enhance Your Kitchen Experience,,sales@celebratefestivalinc.com,2026-07-22,2026-07-22T11:00:00,YwXV3d,Sent,3569,620,12.38,13,0.22,1,0.028,1.136,0,0,0.0
01KYR5GTC5XNCC79D4SC7F8YH8,"Campaign Jul 30, 2026, 9:00 AM",Power Every Service. Oven Solutions Built to Perform.,,sales@celebratefestivalinc.com,2026-07-30,2026-07-30T09:00:00,YwXV3d,Sent,3568,607,12.61,9,0.17,3,0.084,0.834,1,0,0.0
