entity_type,entity_id,action,detail,user_id,created_at
task,5,created,BUG-003,2,"2026-03-12 00:00:00"
task,4,created,BUG-002,2,"2026-03-12 00:00:00"
task,3,created,BUG-001,2,"2026-03-12 00:00:00"
task,5,"status:In Progress","Pending → In Progress",1,"2026-03-13 00:00:00"
task,4,"status:In Progress","Pending → In Progress",1,"2026-03-13 00:00:00"
task,3,"status:In Progress","Pending → In Progress",1,"2026-03-13 00:00:00"
task,10,created,BUG-008,2,"2026-03-15 00:00:00"
task,9,created,BUG-007,2,"2026-03-15 00:00:00"
task,8,created,BUG-006,2,"2026-03-15 00:00:00"
task,7,created,BUG-005,2,"2026-03-15 00:00:00"
task,6,created,BUG-004,2,"2026-03-15 00:00:00"
task,5,status:Completed,"In Progress → Completed",1,"2026-03-15 17:00:00"
task,4,status:Completed,"In Progress → Completed",1,"2026-03-15 17:00:00"
task,3,status:Completed,"In Progress → Completed",1,"2026-03-15 17:00:00"
task,10,"status:In Progress","Pending → In Progress",1,"2026-03-16 00:00:00"
task,9,"status:In Progress","Pending → In Progress",1,"2026-03-16 00:00:00"
task,8,"status:In Progress","Pending → In Progress",1,"2026-03-16 00:00:00"
task,7,"status:In Progress","Pending → In Progress",1,"2026-03-16 00:00:00"
task,6,"status:In Progress","Pending → In Progress",1,"2026-03-16 00:00:00"
task,13,created,BUG-011,2,"2026-03-17 00:00:00"
task,12,created,BUG-010,2,"2026-03-17 00:00:00"
task,11,created,BUG-009,2,"2026-03-17 00:00:00"
task,13,"status:In Progress","Pending → In Progress",1,"2026-03-18 00:00:00"
task,12,"status:In Progress","Pending → In Progress",1,"2026-03-18 00:00:00"
task,11,"status:In Progress","Pending → In Progress",1,"2026-03-18 00:00:00"
task,10,status:Completed,"In Progress → Completed",1,"2026-03-18 17:00:00"
task,9,status:Completed,"In Progress → Completed",1,"2026-03-18 17:00:00"
task,8,status:Completed,"In Progress → Completed",1,"2026-03-18 17:00:00"
task,7,status:Completed,"In Progress → Completed",1,"2026-03-18 17:00:00"
task,6,status:Completed,"In Progress → Completed",1,"2026-03-18 17:00:00"
task,16,created,BUG-014,2,"2026-03-19 00:00:00"
task,15,created,BUG-013,2,"2026-03-19 00:00:00"
task,14,created,BUG-012,2,"2026-03-19 00:00:00"
task,16,"status:In Progress","Pending → In Progress",1,"2026-03-20 00:00:00"
task,15,"status:In Progress","Pending → In Progress",1,"2026-03-20 00:00:00"
task,14,"status:In Progress","Pending → In Progress",1,"2026-03-20 00:00:00"
task,13,status:Completed,"In Progress → Completed",1,"2026-03-20 17:00:00"
task,12,status:Completed,"In Progress → Completed",1,"2026-03-20 17:00:00"
task,11,status:Completed,"In Progress → Completed",1,"2026-03-20 17:00:00"
task,16,status:Completed,"In Progress → Completed",1,"2026-03-22 17:00:00"
task,15,status:Completed,"In Progress → Completed",1,"2026-03-22 17:00:00"
task,14,status:Completed,"In Progress → Completed",1,"2026-03-22 17:00:00"
task,26,created,BUG-024,2,"2026-03-23 00:00:00"
task,20,created,BUG-018,2,"2026-03-23 00:00:00"
task,19,created,BUG-017,2,"2026-03-23 00:00:00"
task,18,created,BUG-016,2,"2026-03-23 00:00:00"
task,17,created,BUG-015,2,"2026-03-23 00:00:00"
task,26,"status:In Progress","Pending → In Progress",1,"2026-03-24 00:00:00"
task,20,"status:In Progress","Pending → In Progress",1,"2026-03-24 00:00:00"
task,19,"status:In Progress","Pending → In Progress",1,"2026-03-24 00:00:00"
task,18,"status:In Progress","Pending → In Progress",1,"2026-03-24 00:00:00"
task,17,"status:In Progress","Pending → In Progress",1,"2026-03-24 00:00:00"
task,25,created,BUG-023,2,"2026-03-25 00:00:00"
task,24,created,BUG-022,2,"2026-03-25 00:00:00"
task,23,created,BUG-021,2,"2026-03-25 00:00:00"
task,22,created,BUG-020,2,"2026-03-25 00:00:00"
task,21,created,BUG-019,2,"2026-03-25 00:00:00"
task,25,"status:In Progress","Pending → In Progress",1,"2026-03-26 00:00:00"
task,24,"status:In Progress","Pending → In Progress",1,"2026-03-26 00:00:00"
task,23,"status:In Progress","Pending → In Progress",1,"2026-03-26 00:00:00"
task,22,"status:In Progress","Pending → In Progress",1,"2026-03-26 00:00:00"
task,21,"status:In Progress","Pending → In Progress",1,"2026-03-26 00:00:00"
task,51,created,"from timeline 2026-03-26",2,"2026-03-26 09:00:00"
task,50,created,"from timeline 2026-03-26",2,"2026-03-26 09:00:00"
task,49,created,"from timeline 2026-03-26",2,"2026-03-26 09:00:00"
task,26,status:Completed,"In Progress → Completed",1,"2026-03-26 17:00:00"
task,20,status:Completed,"In Progress → Completed",1,"2026-03-26 17:00:00"
task,19,status:Completed,"In Progress → Completed",1,"2026-03-26 17:00:00"
task,18,status:Completed,"In Progress → Completed",1,"2026-03-26 17:00:00"
task,17,status:Completed,"In Progress → Completed",1,"2026-03-26 17:00:00"
task,25,status:Completed,"In Progress → Completed",1,"2026-03-28 17:00:00"
task,24,status:Completed,"In Progress → Completed",1,"2026-03-28 17:00:00"
task,23,status:Completed,"In Progress → Completed",1,"2026-03-28 17:00:00"
task,22,status:Completed,"In Progress → Completed",1,"2026-03-28 17:00:00"
task,21,status:Completed,"In Progress → Completed",1,"2026-03-28 17:00:00"
task,52,created,"from timeline 2026-03-30",2,"2026-03-30 09:00:00"
task,36,created,BUG-034,2,"2026-04-01 00:00:00"
task,35,created,BUG-033,2,"2026-04-01 00:00:00"
task,34,created,BUG-032,2,"2026-04-01 00:00:00"
task,33,created,BUG-031,2,"2026-04-01 00:00:00"
task,32,created,BUG-030,2,"2026-04-01 00:00:00"
task,31,created,BUG-029,2,"2026-04-01 00:00:00"
task,30,created,BUG-028,2,"2026-04-01 00:00:00"
task,29,created,BUG-027,2,"2026-04-01 00:00:00"
task,28,created,BUG-026,2,"2026-04-01 00:00:00"
task,27,created,BUG-025,2,"2026-04-01 00:00:00"
task,36,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,35,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,34,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,33,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,32,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,31,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,30,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,29,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,28,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,27,"status:In Progress","Pending → In Progress",1,"2026-04-02 00:00:00"
task,54,created,"from timeline 2026-04-02",2,"2026-04-02 09:00:00"
task,53,created,"from timeline 2026-04-02",2,"2026-04-02 09:00:00"
task,56,created,"from timeline 2026-04-04",2,"2026-04-04 09:00:00"
task,55,created,"from timeline 2026-04-04",2,"2026-04-04 09:00:00"
task,36,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,35,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,34,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,33,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,32,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,31,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,30,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,29,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,28,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,27,status:Completed,"In Progress → Completed",1,"2026-04-04 17:00:00"
task,48,created,IMP-004,2,"2026-04-05 00:00:00"
task,47,created,IMP-003,2,"2026-04-05 00:00:00"
task,46,created,IMP-002,2,"2026-04-05 00:00:00"
task,45,created,IMP-001,2,"2026-04-05 00:00:00"
task,44,created,BUG-042,2,"2026-04-05 00:00:00"
task,43,created,BUG-041,2,"2026-04-05 00:00:00"
task,42,created,BUG-040,2,"2026-04-05 00:00:00"
task,41,created,BUG-039,2,"2026-04-05 00:00:00"
task,40,created,BUG-038,2,"2026-04-05 00:00:00"
task,39,created,BUG-037,2,"2026-04-05 00:00:00"
task,38,created,BUG-036,2,"2026-04-05 00:00:00"
task,37,created,BUG-035,2,"2026-04-05 00:00:00"
task,48,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
