task_id,title,task_type,priority,status,classification,created_at,started_at,completed_at,eta_date,deadline,comment_count,first_comment,last_comment,classification_reason,description_excerpt
3,Login for Member Pricing - Label Position,UI Change,Medium,Completed,COMPLETED,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-03-15 17:00:00,,2026-03-15 17:00:00,0,,,,"[BUG-001 · Product Listing & Card]  ""Login for member pricing"" label needs repositioning to bottom of product card on PDP.  Current: Label appears in middle/upper area of card."
4,Product Card SKU Display,UI Change,Low,Completed,COMPLETED,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-03-15 17:00:00,,2026-03-15 17:00:00,0,,,,"[BUG-002 · Product Listing & Card]  SKU needs to be highlighted/styled differently on PDP.  Current: SKU ""P48A-CCCC"" not prominently displayed."
5,Add to Cart Button - Price Section,UI Change,Medium,Completed,COMPLETED,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-03-15 17:00:00,,2026-03-15 17:00:00,0,,,,"[BUG-003 · Product Listing & Card]  ""Add to Cart"" button should be moved to the price box area on PDP.  Current: Button positioned separately from price."
6,Category Filter Checkmarks Not Updating Product Grid,UI Change,High,Completed,COMPLETED,2026-03-15 00:00:00,2026-03-16 00:00:00,2026-03-18 17:00:00,,2026-03-18 17:00:00,0,,,,[BUG-004 · Navigation & Filtering]  Category filter checkmarks on L2 pages do not update the product grid.  Current: Selecting filter checkboxes does not filter products; no visual feedback; no clear-
7,Search Results - Brand Filter Goes to 404,UI Change,High,Completed,COMPLETED,2026-03-15 00:00:00,2026-03-16 00:00:00,2026-03-18 17:00:00,,2026-03-18 17:00:00,0,,,,"[BUG-005 · Navigation & Filtering]  Brand filter links in search results redirect to 404. AUDIT: NOT A BUG — uses client-side filtering, no URL navigation.  Current: Brand filter links broken; URLs us"
8,Food Preparation - Filter Buttons Directing to Wrong Collections,UI Change,High,Completed,COMPLETED,2026-03-15 00:00:00,2026-03-16 00:00:00,2026-03-18 17:00:00,,2026-03-18 17:00:00,0,,,,[BUG-006 · Navigation & Filtering]  5 filter buttons direct to wrong collections when accessed via breadcrumb.  Current: Buttons work from main menu but fail from breadcrumb path.
9,Cooking Equipment - Filters Not Working,UI Change,High,Completed,COMPLETED,2026-03-15 00:00:00,2026-03-16 00:00:00,2026-03-18 17:00:00,,2026-03-18 17:00:00,0,,,,[BUG-007 · Navigation & Filtering]  Filter buttons not working on Indian Specialty >> Cooking Equipment.  Current: Steam Cooking Equipment and Commercial Toasters filters non-functional.
10,Filter Panel - Brand and Product Type Position,UI Change,Medium,Completed,COMPLETED,2026-03-15 00:00:00,2026-03-16 00:00:00,2026-03-18 17:00:00,,2026-03-18 17:00:00,0,,,,[BUG-008 · Navigation & Filtering]  Brand and Product Type filters should be at top of filter panel on all product listing pages.  Current: Positioned lower in filter hierarchy.
11,Hero Section - Second Slide Position,UI Change,Low,Completed,COMPLETED,2026-03-17 00:00:00,2026-03-18 00:00:00,2026-03-20 17:00:00,,2026-03-20 17:00:00,0,,,,[BUG-009 · Hero Section & Slider]  Reorder homepage hero: current 2nd slide becomes 1st.  Current: Slide order incorrect.
12,Hero Section - Shop Equipment Button Link,UI Change,Medium,Completed,COMPLETED,2026-03-17 00:00:00,2026-03-18 00:00:00,2026-03-20 17:00:00,,2026-03-20 17:00:00,0,,,,[BUG-010 · Hero Section & Slider]  Shop Equipment button on 2nd slide should link to Restaurant Equipment main category.  Current: Incorrect link destination (/collections/all).
13,Rolling Banner - Remove,UI Change,High,Completed,COMPLETED,2026-03-17 00:00:00,2026-03-18 00:00:00,2026-03-20 17:00:00,,2026-03-20 17:00:00,0,,,,[BUG-011 · Hero Section & Slider]  Client does not like the top rolling announcement banner.  Current: Rolling banner present at top.
14,Contact Form - Form Type Dropdown,Bug,Medium,Completed,COMPLETED,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-03-22 17:00:00,,2026-03-22 17:00:00,0,,,,[BUG-012 · Form & Contact]  Select Form Type dropdown should be changed to buttons on contact page.  Current: Dropdown menu for form selection.
15,Contact Form - File Upload Section,Bug,Medium,Completed,COMPLETED,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-03-22 17:00:00,,2026-03-22 17:00:00,0,,,,[BUG-013 · Form & Contact]  Add file-upload capability to Request-a-Quote form.  Current: No file upload capability.
16,Contact Section - Positioning,Bug,Low,Completed,COMPLETED,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-03-22 17:00:00,,2026-03-22 17:00:00,0,,,,"[BUG-014 · Form & Contact]  Move contact forms up; make section narrower (or move under header).  Current: Forms positioned too low, section too wide."
17,Help Box - Create Resource Pages and Add Links,Bug,High,Completed,COMPLETED,2026-03-23 00:00:00,2026-03-24 00:00:00,2026-03-26 17:00:00,,2026-03-26 17:00:00,0,,,,"[BUG-015 · Form & Contact]  Create three new resource pages and link them in Help Box: Product Videos, FAQ, Installation Service.  Current: Buttons exist but pages not created."
18,Cart Page - Continue Shopping Button,Bug,Medium,Completed,COMPLETED,2026-03-23 00:00:00,2026-03-24 00:00:00,2026-03-26 17:00:00,,2026-03-26 17:00:00,0,,,,"[BUG-016 · Cart & Checkout]  Continue Shopping button should return to original browsing page, not a default.  Current: Button always links to /collections/all."
19,Sidebar Cart - Product List Display Optimization,Bug,High,Completed,COMPLETED,2026-03-23 00:00:00,2026-03-24 00:00:00,2026-03-26 17:00:00,,2026-03-26 17:00:00,0,,,,[BUG-017 · Cart & Checkout]  Optimize cart sidebar so more items are visible before scrolling; move notes out.  Current: Large product display taking up space; notes in sidebar.
20,Cart Template Preview Issue,Bug,High,Completed,COMPLETED,2026-03-23 00:00:00,2026-03-24 00:00:00,2026-03-26 17:00:00,,2026-03-26 17:00:00,0,,,,[BUG-018 · Cart & Checkout]  Custom cart theme not displaying correctly in preview mode.  Current: Cart is rendered using live theme when previewing unpublished theme.
21,Indian Specialty Category - Page Layout Different,UI Change,Medium,Completed,COMPLETED,2026-03-25 00:00:00,2026-03-26 00:00:00,2026-03-28 17:00:00,,2026-03-28 17:00:00,0,,,,[BUG-019 · Category & Collection]  Indian Specialty - Cooking Equipment layout does not match other category pages.  Current: Different layout/styling.
22,Parent Collection - Product Count Display,UI Change,High,Completed,COMPLETED,2026-03-25 00:00:00,2026-03-26 00:00:00,2026-03-28 17:00:00,,2026-03-28 17:00:00,0,,,,[BUG-020 · Category & Collection]  Parent collection shows 0 products; must aggregate from child collections.  Current: Shows 0 products on parent page.
23,Restaurant Equipment Main Category - Missing Image,UI Change,Low,Completed,COMPLETED,2026-03-25 00:00:00,2026-03-26 00:00:00,2026-03-28 17:00:00,,2026-03-28 17:00:00,0,,,,[BUG-021 · Category & Collection]  Indian Specialty subcategory shows a placeholder icon instead of image.  Current: Generic box icon placeholder.
24,Breadcrumb Navigation - Repeated Path,UI Change,High,Completed,COMPLETED,2026-03-25 00:00:00,2026-03-26 00:00:00,2026-03-28 17:00:00,,2026-03-28 17:00:00,0,,,,[BUG-022 · Category & Collection]  Breadcrumb repeats Indian Specialty multiple times.  Current: Home > Indian Specialty > Indian Specialty > Indian Specialty.
25,Smallwares Navigation Path Issue,UI Change,Medium,Completed,COMPLETED,2026-03-25 00:00:00,2026-03-26 00:00:00,2026-03-28 17:00:00,,2026-03-28 17:00:00,0,,,,[BUG-023 · Category & Collection]  Smallwares > Cookware > Indian Specialty - Cookware path is wrong.  Current: Incorrect category path/hierarchy.
26,Search Results - Theme Inconsistency,Bug,Medium,Completed,COMPLETED,2026-03-23 00:00:00,2026-03-24 00:00:00,2026-03-26 17:00:00,,2026-03-26 17:00:00,0,,,,[BUG-024 · Search]  Search results theme differs from category pages.  Current: Inconsistent styling; View All redirects to main category.
27,Mini Cart View Cart button not navigating,Bug,High,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-025 · Cart]  View Cart button in mini cart toast not redirecting to /cart.  Current: Button click does nothing.
28,Indian products showing member pricing when logged out,Bug,High,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-026 · Pricing]  Indian products display member pricing to non-members.  Current: Shows member price to everyone.
29,USA products showing Login for Member Pricing incorrectly,Bug,High,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-027 · Pricing]  Non-CF products showing login prompt for member pricing.  Current: Shows login prompt on all products.
30,Search Sort By and View Toggle not working,Bug,Medium,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-028 · Search]  Sorting and view toggle buttons non-functional on search results.  Current: Buttons do nothing.
31,Search results theme not matching L3 collection page,UI Change,Medium,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-029 · Design]  Product cards on search have different styling than L3.  Current: Different card design.
32,Promotional elements visible to logged-in members,Bug,Medium,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-030 · Pricing]  Login for Member Pricing shown to already-logged-in members.  Current: Shows login prompt to members.
33,Regular price missing strikethrough when member price shown,Bug,Low,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-031 · Pricing]  Compare price not styled with strikethrough.  Current: No strikethrough on regular price.
34,Product page Add to Cart not showing toast notification,Bug,Medium,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-032 · Cart]  No feedback when adding to cart from PDP.  Current: No visual feedback.
35,Topbar not visible,UI Change,Low,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-033 · Header]  Top announcement bar not showing in header.  Current: Topbar hidden.
36,Cart drawer exit animation abrupt,Bug,Low,Completed,COMPLETED,2026-04-01 00:00:00,2026-04-02 00:00:00,2026-04-04 17:00:00,,2026-04-04 17:00:00,0,,,,[BUG-034 · Cart]  Cart drawer closes without smooth animation.  Current: Abrupt close.
37,Product Variant Price Not Updating,Bug,High,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,"[BUG-035 · Product Page]  Variant price not updating on PDP.  Current: JS targets .price-main, HTML uses .price-card-amount."
38,Duplicate Menu Items in Need Help Section,Bug,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[BUG-036 · Product Page]  Need Help section shows duplicate links.  Current: Both hardcoded and dynamic links render.
39,Subcategory Limit of 10 Showing,Bug,High,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[BUG-037 · Collection]  Only 10 subcategories show on L2 collection pages.  Current: Hardcoded limit of 10 in forloop.
40,Wishlist Access Missing,UI Change,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[BUG-038 · Header]  No wishlist link in header navigation.  Current: Wishlist icon/link not present.
41,Price Range Filter Cropped on Search Results,Bug,High,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[BUG-039 · Search]  Price filter clipped in sidebar.  Current: max-height + overflow clip the filter.
42,Subcategory Labels Inconsistent with Menu Labels,Bug,Low,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,"[BUG-040 · Collection]  Subcategory tabs show raw collection titles instead of clean labels.  Current: Prefixes like ""New Theme -"" visible."
43,Hero Slider Pagination Dots Wrong Position,UI Change,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[BUG-041 · Hero Banner]  Carousel dots outside image instead of over it.  Current: Dots positioned below content.
44,Mega Menu Promo Text Shows Raw Liquid Code,UI Change,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[BUG-042 · Header]  Mega menu displays raw Liquid code.  Current: {{ section.settings.member_promo_megamenu_text }} visible.
45,Default to Request a Quote Tab via URL,Feature,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[IMP-001 · Contact Page]  Allow URL parameter to pre-select quote form tab (?tab=quote).  Current: Always defaults to General Inquiry.
46,Pre-populate Quote Form for Logged-in Users,Feature,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[IMP-002 · Contact Page]  Auto-fill form fields with customer data.  Current: Form fields empty for logged-in users.
47,Add Variations Badge to Product Cards,Feature,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[IMP-003 · Product Cards]  Show number of variants on product cards.  Current: No indication of variant count.
48,Connect Hexagon Brand Logos to Vendor Pages,Feature,Medium,Completed,COMPLETED,2026-04-05 00:00:00,2026-04-06 00:00:00,2026-04-08 17:00:00,,2026-04-08 17:00:00,0,,,,[IMP-004 · Homepage]  Brand logos in hexagon grid had no links.  Current: All brand link fields empty.
49,Portal replication (new portal structure),Feature,High,Completed,COMPLETED,2026-03-26 09:00:00,,2026-04-23 18:33:13,,,3,2026-04-15 15:49:15,2026-04-17 18:32:57,,New feature set introduced Mar 26: Portal replication with updated structure.  Requested via Jielin timeline message (2026-04-15).
50,Resources structure update,Feature,Medium,Completed,COMPLETED,2026-03-26 09:00:00,,2026-04-23 18:35:13,,,3,2026-04-15 15:49:15,2026-04-16 19:51:24,,Resources section restructure requested alongside portal work.  Requested via Jielin timeline message (2026-04-15).
51,SPP — Unhide recommendation sections (Other Products from this line / You may also like),UI Change,High,Completed,COMPLETED,2026-03-26 09:00:00,,2026-05-08 16:48:54,,,6,2026-04-15 15:49:15,2026-05-05 16:45:06,,UI updates plus recommendation logic changes requested as part of Mar 26 feature set.  Requested via Jielin timeline message (2026-04-15).
52,Portal setup & structure changes (WIP),Feature,High,Completed,COMPLETED,2026-03-30 09:00:00,,2026-04-23 18:35:24,,,3,2026-04-15 15:49:15,2026-04-17 18:33:37,,Work in progress across Mar 30–31 on portal setup and related structural updates.  Requested via Jielin timeline message (2026-04-15).
53,Inventory status feature,Feature,High,Completed,COMPLETED,2026-04-02 09:00:00,,2026-04-20 19:56:42,,,5,2026-04-15 15:47:55,2026-04-20 20:10:48,,New feature to surface inventory status on product pages (logic still under refinement).  Requested via Jielin timeline message (2026-04-15).
