id,title,task_type,priority,status,description,expected_behavior,eta_date,deadline,created_at,started_at,completed_at
3,"Login for Member Pricing - Label Position","UI Change",Medium,Completed,"[BUG-001 · Product Listing & Card]

""Login for member pricing"" label needs repositioning to bottom of product card on PDP.

Current: Label appears in middle/upper area of card.","Label should appear at bottom like other product cards.",,"2026-03-15 17:00:00","2026-03-12 00:00:00","2026-03-13 00:00:00","2026-03-15 17:00:00"
4,"Product Card SKU Display","UI Change",Low,Completed,"[BUG-002 · Product Listing & Card]

SKU needs to be highlighted/styled differently on PDP.

Current: SKU ""P48A-CCCC"" not prominently displayed.","SKU should be in highlighted box/badge for better visibility.",,"2026-03-15 17:00:00","2026-03-12 00:00:00","2026-03-13 00:00:00","2026-03-15 17:00:00"
5,"Add to Cart Button - Price Section","UI Change",Medium,Completed,"[BUG-003 · Product Listing & Card]

""Add to Cart"" button should be moved to the price box area on PDP.

Current: Button positioned separately from price.","Button integrated within price display section.",,"2026-03-15 17:00:00","2026-03-12 00:00:00","2026-03-13 00:00:00","2026-03-15 17:00:00"
6,"Category Filter Checkmarks Not Updating Product Grid","UI Change",High,Completed,"[BUG-004 · Navigation & Filtering]

Category filter checkmarks on L2 pages do not update the product grid.

Current: Selecting filter checkboxes does not filter products; no visual feedback; no clear-all.","Checkbox selections filter grid immediately; Clear All button available.",,"2026-03-18 17:00:00","2026-03-15 00:00:00","2026-03-16 00:00:00","2026-03-18 17:00:00"
7,"Search Results - Brand Filter Goes to 404","UI Change",High,Completed,"[BUG-005 · Navigation & Filtering]

Brand filter links in search results redirect to 404. AUDIT: NOT A BUG — uses client-side filtering, no URL navigation.

Current: Brand filter links broken; URLs use /brands/ slug which does not exist.","Filter search results by selected brand/vendor; use /vendors/ slug.",,"2026-03-18 17:00:00","2026-03-15 00:00:00","2026-03-16 00:00:00","2026-03-18 17:00:00"
8,"Food Preparation - Filter Buttons Directing to Wrong Collections","UI Change",High,Completed,"[BUG-006 · Navigation & Filtering]

5 filter buttons direct to wrong collections when accessed via breadcrumb.

Current: Buttons work from main menu but fail from breadcrumb path.","Consistent behavior regardless of navigation path.",,"2026-03-18 17:00:00","2026-03-15 00:00:00","2026-03-16 00:00:00","2026-03-18 17:00:00"
9,"Cooking Equipment - Filters Not Working","UI Change",High,Completed,"[BUG-007 · Navigation & Filtering]

Filter buttons not working on Indian Specialty >> Cooking Equipment.

Current: Steam Cooking Equipment and Commercial Toasters filters non-functional.","Filters should narrow product selection.",,"2026-03-18 17:00:00","2026-03-15 00:00:00","2026-03-16 00:00:00","2026-03-18 17:00:00"
10,"Filter Panel - Brand and Product Type Position","UI Change",Medium,Completed,"[BUG-008 · Navigation & Filtering]

Brand and Product Type filters should be at top of filter panel on all product listing pages.

Current: Positioned lower in filter hierarchy.","Top position in filter sidebar for easier access.",,"2026-03-18 17:00:00","2026-03-15 00:00:00","2026-03-16 00:00:00","2026-03-18 17:00:00"
11,"Hero Section - Second Slide Position","UI Change",Low,Completed,"[BUG-009 · Hero Section & Slider]

Reorder homepage hero: current 2nd slide becomes 1st.

Current: Slide order incorrect.","2nd slide should be in 1st position.",,"2026-03-20 17:00:00","2026-03-17 00:00:00","2026-03-18 00:00:00","2026-03-20 17:00:00"
12,"Hero Section - Shop Equipment Button Link","UI Change",Medium,Completed,"[BUG-010 · Hero Section & Slider]

Shop Equipment button on 2nd slide should link to Restaurant Equipment main category.

Current: Incorrect link destination (/collections/all).","Link to /collections/restaurant-equipment.",,"2026-03-20 17:00:00","2026-03-17 00:00:00","2026-03-18 00:00:00","2026-03-20 17:00:00"
13,"Rolling Banner - Remove","UI Change",High,Completed,"[BUG-011 · Hero Section & Slider]

Client does not like the top rolling announcement banner.

Current: Rolling banner present at top.","Remove rolling banner completely.",,"2026-03-20 17:00:00","2026-03-17 00:00:00","2026-03-18 00:00:00","2026-03-20 17:00:00"
14,"Contact Form - Form Type Dropdown",Bug,Medium,Completed,"[BUG-012 · Form & Contact]

Select Form Type dropdown should be changed to buttons on contact page.

Current: Dropdown menu for form selection.","Button-based form type selection.",,"2026-03-22 17:00:00","2026-03-19 00:00:00","2026-03-20 00:00:00","2026-03-22 17:00:00"
15,"Contact Form - File Upload Section",Bug,Medium,Completed,"[BUG-013 · Form & Contact]

Add file-upload capability to Request-a-Quote form.

Current: No file upload capability.","File upload field in quote request form.",,"2026-03-22 17:00:00","2026-03-19 00:00:00","2026-03-20 00:00:00","2026-03-22 17:00:00"
16,"Contact Section - Positioning",Bug,Low,Completed,"[BUG-014 · Form & Contact]

Move contact forms up; make section narrower (or move under header).

Current: Forms positioned too low, section too wide.","Higher positioning, narrower layout, under header.",,"2026-03-22 17:00:00","2026-03-19 00:00:00","2026-03-20 00:00:00","2026-03-22 17:00:00"
17,"Help Box - Create Resource Pages and Add Links",Bug,High,Completed,"[BUG-015 · Form & Contact]

Create three new resource pages and link them in Help Box: Product Videos, FAQ, Installation Service.

Current: Buttons exist but pages not created.","Working links to the three resource pages.",,"2026-03-26 17:00:00","2026-03-23 00:00:00","2026-03-24 00:00:00","2026-03-26 17:00:00"
18,"Cart Page - Continue Shopping Button",Bug,Medium,Completed,"[BUG-016 · Cart & Checkout]

Continue Shopping button should return to original browsing page, not a default.

Current: Button always links to /collections/all.","Navigate back to last visited product/category page.",,"2026-03-26 17:00:00","2026-03-23 00:00:00","2026-03-24 00:00:00","2026-03-26 17:00:00"
19,"Sidebar Cart - Product List Display Optimization",Bug,High,Completed,"[BUG-017 · Cart & Checkout]

Optimize cart sidebar so more items are visible before scrolling; move notes out.

Current: Large product display taking up space; notes in sidebar.","Compact product list; notes on cart page.",,"2026-03-26 17:00:00","2026-03-23 00:00:00","2026-03-24 00:00:00","2026-03-26 17:00:00"
20,"Cart Template Preview Issue",Bug,High,Completed,"[BUG-018 · Cart & Checkout]

Custom cart theme not displaying correctly in preview mode.

Current: Cart is rendered using live theme when previewing unpublished theme.","Alternative URL (/cart?view=drawer) to test unpublished cart template.",,"2026-03-26 17:00:00","2026-03-23 00:00:00","2026-03-24 00:00:00","2026-03-26 17:00:00"
21,"Indian Specialty Category - Page Layout Different","UI Change",Medium,Completed,"[BUG-019 · Category & Collection]

Indian Specialty - Cooking Equipment layout does not match other category pages.

Current: Different layout/styling.","Consistent layout with other category pages.",,"2026-03-28 17:00:00","2026-03-25 00:00:00","2026-03-26 00:00:00","2026-03-28 17:00:00"
22,"Parent Collection - Product Count Display","UI Change",High,Completed,"[BUG-020 · Category & Collection]

Parent collection shows 0 products; must aggregate from child collections.

Current: Shows 0 products on parent page.","Calculate and display total of all products in child collections.",,"2026-03-28 17:00:00","2026-03-25 00:00:00","2026-03-26 00:00:00","2026-03-28 17:00:00"
23,"Restaurant Equipment Main Category - Missing Image","UI Change",Low,Completed,"[BUG-021 · Category & Collection]

Indian Specialty subcategory shows a placeholder icon instead of image.

Current: Generic box icon placeholder.","Proper category image uploaded via Shopify Admin.",,"2026-03-28 17:00:00","2026-03-25 00:00:00","2026-03-26 00:00:00","2026-03-28 17:00:00"
24,"Breadcrumb Navigation - Repeated Path","UI Change",High,Completed,"[BUG-022 · Category & Collection]

Breadcrumb repeats Indian Specialty multiple times.

Current: Home > Indian Specialty > Indian Specialty > Indian Specialty.","Proper hierarchical breadcrumb path.",,"2026-03-28 17:00:00","2026-03-25 00:00:00","2026-03-26 00:00:00","2026-03-28 17:00:00"
25,"Smallwares Navigation Path Issue","UI Change",Medium,Completed,"[BUG-023 · Category & Collection]

Smallwares > Cookware > Indian Specialty - Cookware path is wrong.

Current: Incorrect category path/hierarchy.","Proper category hierarchy maintained.",,"2026-03-28 17:00:00","2026-03-25 00:00:00","2026-03-26 00:00:00","2026-03-28 17:00:00"
26,"Search Results - Theme Inconsistency",Bug,Medium,Completed,"[BUG-024 · Search]

Search results theme differs from category pages.

Current: Inconsistent styling; View All redirects to main category.","Consistent theme; View All navigates to relevant filtered collection.",,"2026-03-26 17:00:00","2026-03-23 00:00:00","2026-03-24 00:00:00","2026-03-26 17:00:00"
27,"Mini Cart View Cart button not navigating",Bug,High,Completed,"[BUG-025 · Cart]

View Cart button in mini cart toast not redirecting to /cart.

Current: Button click does nothing.","Navigate to /cart page.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
28,"Indian products showing member pricing when logged out",Bug,High,Completed,"[BUG-026 · Pricing]

Indian products display member pricing to non-members.

Current: Shows member price to everyone.","Hide member pricing for non-members on Indian products.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
29,"USA products showing Login for Member Pricing incorrectly",Bug,High,Completed,"[BUG-027 · Pricing]

Non-CF products showing login prompt for member pricing.

Current: Shows login prompt on all products.","Only show on own-brand CF products.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
30,"Search Sort By and View Toggle not working",Bug,Medium,Completed,"[BUG-028 · Search]

Sorting and view toggle buttons non-functional on search results.

Current: Buttons do nothing.","Sort products and toggle grid/list view.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
31,"Search results theme not matching L3 collection page","UI Change",Medium,Completed,"[BUG-029 · Design]

Product cards on search have different styling than L3.

Current: Different card design.","Match L3 collection page design.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
32,"Promotional elements visible to logged-in members",Bug,Medium,Completed,"[BUG-030 · Pricing]

Login for Member Pricing shown to already-logged-in members.

Current: Shows login prompt to members.","Hide promotional CTAs for logged-in members.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
33,"Regular price missing strikethrough when member price shown",Bug,Low,Completed,"[BUG-031 · Pricing]

Compare price not styled with strikethrough.

Current: No strikethrough on regular price.","Show strikethrough when member price active.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
34,"Product page Add to Cart not showing toast notification",Bug,Medium,Completed,"[BUG-032 · Cart]

No feedback when adding to cart from PDP.

Current: No visual feedback.","Show toast notification on add.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
35,"Topbar not visible","UI Change",Low,Completed,"[BUG-033 · Header]

Top announcement bar not showing in header.

Current: Topbar hidden.","Topbar visible (enable_top_bar=true).",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
36,"Cart drawer exit animation abrupt",Bug,Low,Completed,"[BUG-034 · Cart]

Cart drawer closes without smooth animation.

Current: Abrupt close.","Smooth slide-out animation.",,"2026-04-04 17:00:00","2026-04-01 00:00:00","2026-04-02 00:00:00","2026-04-04 17:00:00"
37,"Product Variant Price Not Updating",Bug,High,Completed,"[BUG-035 · Product Page]

Variant price not updating on PDP.

Current: JS targets .price-main, HTML uses .price-card-amount.","Price updates when variant is selected.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
